Date,Close/Last,Volume,Open,High,Low
12/18/2015,200.0208,250946400,202.77,202.93,199.83
12/17/2015,204.86,172358700,208.4,208.48,204.84
12/16/2015,208.03,196380400,206.365,208.39,204.8
12/15/2015,205.0308,153713000,204.7,206.11,202.8666
12/14/2015,202.9008,181638100,202.07,203.05,199.95
12/11/15,201.88,210983700,203.35,204.14,201.51
12/10/15,205.87,115879700,205.42,207.43,205.14
12/09/15,205.34,161939100,206.19,208.68,204.18
12/08/15,206.949,103090300,206.49,208.289,205.78
12/07/15,208.35,101674200,209.23,209.7295,207.2
12/04/15,209.62,192874200,206.08,209.97,205.93
12/03/15,205.61,165756900,208.83,209.15,204.7511
12/02/15,208.529,108139300,210.615,211,208.23
12/01/15,210.68,97501880,209.44,210.82,209.11
11/30/2015,208.69,111785700,209.75,209.89,208.56
11/27/2015,209.56,37317780,209.43,209.8,208.86
11/25/2015,209.32,51822520,209.5,209.74,209.01
11/24/2015,209.35,98705990,207.87,209.83,207.41
11/23/2015,209.07,64789800,209.38,209.98,208.52
11/20/2015,209.3108,93821880,209.45,210.12,208.86
11/19/2015,208.55,87841400,208.59,209.05,208.2
11/18/2015,208.73,121128300,206.04,208.9,205.99
11/17/2015,205.47,120836000,205.99,207.04,204.88
11/16/2015,205.62,117342200,202.32,205.69,202.18
11/13/2015,202.54,152793300,204.35,204.67,202.435
11/12/15,204.84,120950900,206.5,207.06,204.82
11/11/15,207.74,67716950,208.88,208.94,207.66
11/10/15,208.56,75769150,207.51,208.6,207.19
11/09/15,208.08,130856000,209.31,209.49,206.95
11/06/15,210.04,110389000,209.74,210.32,208.46
11/05/15,210.15,78166140,210.43,210.98,209.09
11/04/15,210.36,95668530,211.35,211.5,209.7201
11/03/15,211,95133060,209.97,211.66,209.7
11/02/15,210.39,86052980,208.32,210.62,208.17
10/30/2015,207.93,131012600,209.06,209.44,207.74
10/29/2015,208.83,90191780,208.35,209.27,208.21
10/28/2015,208.95,135620300,207,208.98,206.21
10/27/2015,206.6,77709730,206.2,207,205.79
10/26/2015,207,68281240,207.3,207.37,206.56
10/23/2015,207.51,144366100,207.25,207.95,206.3
10/22/2015,205.26,174152100,202.98,205.51,201.85
10/21/2015,201.85,101841800,203.61,203.79,201.65
10/20/2015,203.09,78214510,202.85,203.84,202.5471
10/19/2015,203.37,76365770,202.5,203.37,202.13
10/16/2015,203.27,114037700,202.83,203.29,201.92
10/15/2015,202.35,133837900,200.08,202.36,199.64
10/14/2015,199.29,98864500,200.18,200.87,198.94
10/13/2015,200.25,87873100,200.65,202.16,200.05
10/12/15,201.52,56154070,201.42,201.76,200.91
10/09/15,201.33,106392100,201.38,201.9,200.58
10/08/15,201.21,151731000,198.95,201.55,198.59
10/07/15,199.41,123927900,198.9,199.825,197.48
10/06/15,197.79,109924000,198.31,198.98,197
10/05/15,198.47,125618900,196.46,198.74,196.33
10/02/15,195,209995600,189.77,195.03,189.12
10/01/15,192.13,130248900,192.08,192.49,189.82
09/30/2015,191.63,162862400,190.37,191.825,189.44
09/29/2015,188.12,158394800,188.27,189.74,186.93
09/28/2015,188.01,176317600,191.78,191.91,187.64
09/25/2015,192.85,154595000,194.64,195,191.81
09/24/2015,192.9,158490600,192.15,193.45,190.56
09/23/2015,193.6,92548910,194.11,194.67,192.91
09/22/2015,193.91,153492000,193.88,194.46,192.56
09/21/2015,196.46,105229400,196.44,197.68,195.21
09/18/2015,195.45,222607600,195.71,198.6844,194.96
09/17/2015,199.73,275634900,200.02,202.89,199.28
09/16/2015,200.18,99206800,198.82,200.41,198.41
09/15/2015,198.46,112339400,196.61,198.99,195.9612
09/14/2015,196.01,79365650,196.95,197.01,195.43
09/11/15,196.74,119507200,195.375,196.82,194.53
09/10/15,195.85,158318900,194.56,197.22,194.25
09/09/15,194.79,147649100,199.32,199.47,194.35
09/08/15,197.43,115807000,195.94,197.61,195.17
09/04/15,192.59,204620400,192.85,193.86,191.61
09/03/15,195.55,151957000,196.26,198.05,194.96
09/02/15,195.41,159445200,194.62,195.46,192.42
09/01/15,191.77,253561300,193.12,194.77,190.73
08/31/2015,197.67,160296200,198.11,199.125,197.01
08/28/2015,199.28,160338700,198.5,199.835,197.92
08/27/2015,199.27,273700600,197.02,199.42,195.21
08/26/2015,194.46,338718200,192.08,194.79,188.37
08/25/2015,187.27,367623500,195.43,195.45,186.92
08/24/2015,189.5,506257800,187.49,197.4772,182.4
08/21/2015,197.63,343611100,201.73,203.9404,197.52
08/20/2015,203.97,193680300,206.51,208.2865,203.9
08/19/2015,208.32,172781100,209.09,210.01,207.35
08/18/2015,209.98,71661990,210.26,210.68,209.699
08/17/2015,210.59,78915420,208.71,210.59,208.16
08/14/2015,209.42,72570710,208.43,209.5087,208.26
08/13/2015,208.66,89169630,208.73,209.55,208.01
08/12/15,208.92,171911200,207.11,209.14,205.36
08/11/15,208.67,125935000,208.97,209.47,207.76
08/10/15,210.57,79681690,209.28,210.67,209.28
08/07/15,207.95,117703500,208.16,208.34,206.87
08/06/15,208.35,110243400,210.29,210.415,207.65
08/05/15,210.07,85589800,210.45,211.31,209.73
08/04/15,209.38,81526350,209.7,210.2483,208.8
08/03/15,209.79,113432300,210.46,210.53,208.65
07/31/2015,210.5,102661200,211.42,211.45,210.16
07/30/2015,210.82,91218060,210.16,211.02,209.42
07/29/2015,210.77,104940200,209.48,211.04,209.31
07/28/2015,209.33,122370300,207.79,209.5,206.8
07/27/2015,206.79,130669700,206.94,207.55,206.26
07/24/2015,208,117558700,210.3,210.37,207.6
07/23/2015,210.18,90364920,211.53,211.65,209.75
07/22/2015,211.37,88346410,210.93,211.77,210.89
07/21/2015,211.75,77743460,212.43,212.74,211.39
07/20/2015,212.59,70280430,212.75,213.18,212.21
07/17/2015,212.48,88094480,212.29,212.55,211.8
07/16/2015,212.3,105988600,211.87,212.3,211.58
07/15/2015,210.61,97532900,210.73,211.28,210.04
07/14/2015,210.68,81287840,209.72,211.05,209.65
07/13/2015,209.77,105721800,208.99,209.9,208.94
07/10/15,207.48,129124200,207.29,207.98,204.9517
